type,title,description,on_english_wikipedia,label,sitelinks
Q28924735,NA,area of the Australian state of Victoria not belonging to any local government area,FALSE,"unincorporated area of Victoria, Australia",
Q5162999,Conservation reserve,protected area set aside for conservation purposes,TRUE,conservation reserve,
Q803749,Billabong,oxbow lake in Australia,TRUE,billabong,
Q2143825,Hiking trail,path for hiking in a natural environment,TRUE,hiking trail,
Q375336,Film studio,"major entertainment company or motion picture company that has its own privately owned studio facility or facilities that are used to make films, which is handled by the production company",TRUE,film studio,
Q17350442,NA,place used for some activity,FALSE,venue,
Q129558,Ocean current,continuous flow of ocean water,TRUE,ocean current,
Q123582519,NA,organization that provides air medical services,FALSE,air medical services organization,
Q3699460,Defile (geography),geomorphological structure,TRUE,defile,
Q10313934,NA,lake that disappears seasonally,FALSE,intermittent lake,
Q259037,Traveling carnival,moveable amusement park,TRUE,traveling carnival,
Q1174791,Escarpment,type of slope landform,TRUE,escarpment,
Q10514237,Indigenous Protected Area,area of land or sea in Australia managed by the traditional owners,TRUE,Indigenous Protected Area,
Q2416723,NA,amusement park focused on a particular theme,FALSE,theme park,
Q15060435,Marine mammal park,commercial theme park where marine mammals are kept,TRUE,marine mammal park,
Q35509,Cave,natural void under the Earth's surface,TRUE,cave,
Q10952797,Anchorage (maritime),location at sea where ships can lower anchors,TRUE,anchorage,
Q162602,River island,landmass or fluvial landform within a river,TRUE,river island,
Q67454740,NA,train service that has a unique name,FALSE,named passenger train service,
Q1088552,NA,church building in the Catholic Church,FALSE,Catholic church building,
Q18325841,NA,network for public transport,FALSE,public transport network,
Q159719,Power station,facility generating electric power,TRUE,power station,
Q45791,Geoglyph,motif produced on the ground; observed only remotely or from space,TRUE,geoglyph,
Q27590,Heath,shrubland habitat,TRUE,heath,
Q1022147,Inter-city rail,express passenger train services that cover longer distances than commuter or regional trains,TRUE,inter-city rail,
Q91908084,NA,passenger transport by a specific train following a specific route at regular times,FALSE,passenger train service,
Q1060829,Concert hall,building designed for music performances,TRUE,concert hall,
Q25550691,Town hall,chief administrative seat of a municipality,TRUE,town hall,
Q856584,NA,building housing a library,FALSE,library building,
Q148578,Space telescope,instrument in outer space for observing distant space objects,TRUE,space telescope,
Q148571,Fence,freestanding structure preventing movement across a boundary,TRUE,fence,
Q6646468,Listening station,facility to monitor radio and microwave signals to gather information and intelligence,TRUE,listening station,
Q631305,Rock formation,stone mass,TRUE,rock formation,
Q3240715,Crater,"depression on the Earth or celestial body caused by some form of explosion, including bolide impact, volcanic eruption or chemical/nuclear explosion",TRUE,crater,
Q192611,Electoral district,territorial division made or used for elections,TRUE,electoral unit,
Q316655,Tripoint,geographical point at which the borders of three territories meet,TRUE,tripoint,
Q1061151,Massif,section of a planet's crust that is demarcated by faults or flexures,TRUE,massif,
Q108276216,NA,mine from which rare earth ore is mined,FALSE,rare earth mine,
Q1233637,River mouth,end of a river or stream,TRUE,river mouth,
Q839954,Archaeological site,place (or group of physical sites) in which evidence of past activity is preserved,TRUE,archaeological site,
Q173387,Grave,location where one dead person or a limited amount of people are buried,TRUE,grave,
Q2532223,NA,type of cemetery honoring people who sacrificed themselves for their country,FALSE,memorial cemetery,
Q25631158,NA,"network of highways, usually signed with highway markers of similar design, built to certain mandated specifications, and maintained and/or owned by a single authority",FALSE,highway system,
Q7171449,Pest-exclusion fence,barrier built to exclude certain types of animal pests,TRUE,pest-exclusion fence,
Q339353,Pumped-storage hydroelectricity,hydroelectric energy storage station using two water reservoirs connected with a pump and a turbine,TRUE,pumped-storage power station,
Q15911738,Hydroelectric power station,facility generating electric power using hydroelectricity,TRUE,hydroelectric power station,
Q16659538,NA,mine that contains gold,FALSE,gold mine,
Q34483580,NA,mining operation involved in the extraction of metals from ore,FALSE,ore mine,
Q129676371,NA,NA,FALSE,rural settlement,
Q158454,Biosphere reserve,UNESCO protected area,TRUE,biosphere reserve,
Q41253,Movie theater,"venue, usually a building, for viewing films",TRUE,movie theater,
Q1867977,Refinery,production facility which converts (refines) raw materials into products of value,TRUE,refinery,
Q93267,Isthmus,narrow strip of land connecting two larger land areas,TRUE,isthmus,
Q204324,Volcanic crater lake,lake formed within a volcanic crater,TRUE,volcanic crater lake,
Q5588918,Government Houses of the British Empire and Commonwealth,type of British official residence,TRUE,Government House of the British Empire and Commonwealth,
Q1367500,Marine protected area,"protected areas of seas, oceans, estuaries or large lakes",TRUE,marine protected area,
Q661702,Anabranch,section of a river or stream that diverts from the main channel and rejoins it downstream,TRUE,anabranch,
Q1205140,Barrier island,coastal landform and a type of dune system,TRUE,barrier island,
Q358738,Shuttle roller coaster,"type of roller coaster that does a back-and-forth circuit, instead of a complete circuit.",TRUE,shuttle roller coaster,
Q627421,Launched roller coaster,modern form of roller coaster,TRUE,launched roller coaster,
Q42178109,Giga coaster,Rollercoaster with a height or drop of at least 300 feet,TRUE,gigacoaster,
Q3252908,List of national parks of Western Australia,national parks in Western Australia,TRUE,national park of Western Australia,
Q519105,Volcanic field,area of the Earth's crust prone to localized volcanic activity,TRUE,volcanic field,
Q281460,Pipe organ,wind instrument that produces sound by driving pressurized air (called wind) through pipes selected via a keyboard,TRUE,pipe organ,
Q133156,Colony,"territory under the political control of an overseas state, generally with its own subordinate colonial government",TRUE,colony,
Q66480844,NA,border within a country,FALSE,infranational border,
Q830528,Velodrome,track intended for track cycling,TRUE,velodrome,
Q1068842,Footbridge,"bridge designed for pedestrians and in some cases cyclists, animal traffic and horse riders, rather than vehicular traffic",TRUE,footbridge,
Q2502622,NA,"bridge for cyclists, mostly also for pedestrians",FALSE,bicycle bridge,
Q494829,Bus station,"structure, larger than a bus stop, where city or intercity buses stop to pick up and drop off passengers",TRUE,bus station,
Q828909,Wharf,structure on the shore of a harbor or on the bank of a river or canal where ships dock,TRUE,wharf,
Q204832,Roller coaster,type of amusement ride found at amusement parks and carnivals,TRUE,roller coaster,
Q271669,Landform,a natural or anthropogenic land feature on the solid surface of the Earth or other planetary body; geomorphological unit in the Earth sciences,TRUE,landform,
Q131734,Brewery,business that makes and sells beer,TRUE,brewery,
Q97495053,NA,linear shopping centre,FALSE,shopping arcade,
Q4823517,Big things (Australia),novelty structure in Australia,TRUE,big thing in Australia,
Q1411996,Run-of-the-river hydroelectricity,power plant,TRUE,Run-of-river hydroelectricity,
Q15104915,Field (mineral deposit),"natural concentration of raw materials in the earth's crust, the mining of which is economically worthwhile",TRUE,mineral deposit,
Q13405588,Long-distance trail,"long trail used for walking, backpacking, cycling, horse riding or cross-country skiing",TRUE,long-distance trail,
Q352956,Survey marker,object placed to mark a point,TRUE,survey marker,
Q12284,Canal,man-made channel for water,TRUE,canal,
Q6745599,Mamelon (volcanology),"hill formed by eruption of ""stiff"" lava",TRUE,Mamelon,
Q503269,Seamount,mountain rising from the ocean floor that does not reach the water's surface,TRUE,seamount,
Q158438,Arch bridge,bridge type characterized by its supporting arches,TRUE,arch bridge,
Q7167858,Perennial stream,watercourse that has water continuously,TRUE,perennial stream,
Q653208,Monolith,stone  block made of one single piece; object made of one single rock piece.,TRUE,monolith,
Q6017969,Scenic viewpoint,high place where people can gather to view scenery,TRUE,scenic viewpoint,
Q295472,Ecovillage,sustainable intentional community,TRUE,ecovillage,
Q131263,Barracks,buildings or sets of buildings erected as common living quarters for groups of soldiers or workers,TRUE,barracks,
Q1437459,NA,"geographic area containing numerous mountains, not necessarily geologically related to each other",FALSE,non-geologically related mountain range,
Q55485,Dead-end station,railway station where trains can only enter and exit from one end,TRUE,dead-end railway station,
Q928830,Metro station,railway station of a rapid transit system,TRUE,metro station,
Q2298537,Transport hub,place where passengers and cargo are exchanged between vehicles,TRUE,transport hub,
Q1161185,Volcanic island,island of volcanic origin,TRUE,volcanic island,
Q4835091,NA,geographic region belonging to or controlled by a person or entity,FALSE,territory,
Q124714,Spring (hydrology),water source,TRUE,spring,
Q27670147,NA,areas with canceled protection,FALSE,former protected area,
Q491713,Sound (geography),"long, relatively wide body of water, connecting two larger parts of the sea",TRUE,sound,
Q55491,NA,railway station located below ground,FALSE,underground railway station,
Q22808403,NA,type of station,FALSE,underground station,
Q3917681,Embassy,"permanent diplomatic mission of higher level, representing its operator in the country the embassy is in",TRUE,embassy,
Q15640053,NA,system of railway tracks using tramcars to facilitate public transport,FALSE,tram system,
Q190429,Depression (geology),landform sunken or depressed below the surrounding area,TRUE,depression,
Q2097233,Station (Australian agriculture),large landholding used for livestock production,TRUE,station,
Q13411064,Pastoral lease,type of farm land leased from the government,TRUE,pastoral lease,
Q1885014,NA,a type of memorial that serves as a warning,FALSE,cautionary memorial,
Q4989906,Monument,"imposing structure created to commemorate a person or event, or used for that purpose",TRUE,monument,
Q29469577,NA,LGBT places or monuments known for LGBT events and history,FALSE,LGBT historic place,
Q53354763,NA,NA,FALSE,pier railway,
Q187223,Lagoon,shallow body of water separated from larger body of water by a barrier,TRUE,lagoon,
Q1414991,Area (country subdivision),country subdivision,TRUE,area,
Q30785519,University campus,ensemble of university buildings and adjacent open spaces,TRUE,university campus,
Q1788582,State highway,"highway which is part of a subnational highway network; often described as a state highway network, provincial highway network, or similar",TRUE,state highway,
Q7565304,NA,marine park network in Australia,FALSE,South-east Marine Parks Network,
Q728904,Nature park,"type of protected area in some countries, common in Europe",TRUE,nature park,
Q1172599,Inlet,"in coastal geography, an indentation of a shoreline that often leads to an enclosed body of salt water, such as a sound, bay, lagoon, or marsh",TRUE,inlet,
Q1352795,Cinematheque,organization that preserves and presents film,TRUE,cinematheque,
Q1210950,Channel (geography),type of landform; confined river; strait,TRUE,channel,
Q41982239,Navigation channel,marked water for ships,TRUE,navigation channel,
Q19860854,NA,building or structure that has been demolished or destroyed,FALSE,destroyed building or structure,
Q105131,Hotspot (geology),volcanic region,TRUE,hotspot,
Q321053,Cenotaph,empty tomb or monument erected in honor of a person whose remains are lost or interred elsewhere,TRUE,cenotaph,
Q1340555,Deep geological repository,nuclear waste repository excavated deep within a stable geologic environment,TRUE,deep geological repository,
Q4825026,Australian immigration detention facilities,NA,TRUE,Australian immigration detention facility,
Q5357209,Electorates of the Australian Capital Territory,multi-member electorate for the ACT Legislative Assembly,TRUE,electorate of the Australian Capital Territory,
Q15150553,Personal ordinariate,"a pre- or pseudo-diocesean ecclesiastical structure, of personal nature, headed by an ordinary who is not necessarily a bishop",TRUE,personal ordinariate,
Q125209036,NA,fixed path used by a public transport service,FALSE,public transport route,
Q5367899,Transmitter station,installation used for transmitting radio signals,TRUE,transmitter station,
Q18691599,NA,place developed for and utilized by military forces,FALSE,military facility,
Q115978566,NA,road class in Latvia,FALSE,regional road,
Q166735,Swamp,a type of wetland,TRUE,swamp,
Q16659620,NA,mine from which iron ore or ferriferous minerals are mined,FALSE,iron mine,
Q64578911,NA,"building or architectural structure no longer used as a hospital, currently existing or not",FALSE,former hospital,
Q158218,Truss bridge,bridge whose load-bearing superstructure is composed of a truss,TRUE,truss bridge,
Q1245089,Promontory,prominent mass of land that overlooks lower-lying land or a body of water,TRUE,promontory,
Q93352,Coast,area where land meets the sea or ocean,TRUE,coast,
Q116372166,NA,NA,FALSE,Eastern Orthodox archdiocese,
Q819435,Mining district (Europe),type of region,TRUE,mining region,
Q1151612,Taoist temple,place of worship in Taoism,TRUE,Taoist temple,
Q16547029,NA,school that accepts boys or girls exclusively,FALSE,single-sex school,
Q973560,Wooden roller coaster,type of roller coaster,TRUE,wooden roller coaster,
Q2945301,Detention center,location used for detention,TRUE,detention center,
Q7654661,Temple (LDS Church),place of worship of The Church of Jesus Christ of Latter-day Saints (LDS Church),TRUE,temple,
Q1165822,Meromictic lake,lake with layers of water that do not intermix,TRUE,meromictic lake,
Q2142152,Temple (Latter Day Saints),place of worship of the Latter Day Saint movement,TRUE,temple,
Q2293148,Sculpture trail,type of trail,TRUE,sculpture trail,
Q11670533,NA,type of station,FALSE,elevated station,
Q985073,United Nations trust territories,"Territories under League of Nations Mandate, excluding Palestine and SW Africa, were transferred into UN trusteeships. Validity of existing rights of populations acquired by mandates, including the rights of Jews to settle in Palestine, is preserved",TRUE,United Nations trust territory,
Q892168,Causeway,route raised up on an embankment,TRUE,causeway,
Q483242,Laboratory,"facility that provides controlled conditions in which scientific or technological research, experiments, and measurement may be performed",TRUE,laboratory,
Q50687555,NA,group of wind turbines on land,FALSE,onshore wind farm,
Q647704,Tower mill,type of vertical windmill,TRUE,tower mill,
Q747957,Stack (geology),geological landform consisting of a steep and often vertical column or columns of rock,TRUE,stack,
Q1898357,Naval academy,training institution for naval officers,TRUE,naval academy,
Q7619063,Stone frigate,naval establishment on land,TRUE,naval shore establishment,
Q4946461,Spa town,specialized resort town situated around a mineral spa,TRUE,spa town,
Q3032154,Electoral districts of New South Wales,electorates of the New South Wales Legislative Assembly,TRUE,electoral district of New South Wales,
Q2145262,NA,forest in the subtropics with heavy rainfall,FALSE,subtropical rainforest,
Q52063702,NA,"designation for areas of Tasmania, Australia set aside for nature conservation purposes",FALSE,protected area of Tasmania,
Q107425,Landscape,visible features of an area of land,TRUE,landscape,
Q627236,Company town,place where practically all stores and housing are owned by the one company that is also the main employer,TRUE,company town,
Q12570,Suspension bridge,type of bridge,TRUE,suspension bridge,
Q106071744,NA,"town that no longer exists, e.g. because it was deserted, destroyed or it became part of another settlement",FALSE,former town,
Q34198935,NA,small rock on a seafloor or riverbed that can pose a hazard to maritime navigation,FALSE,submerged rock,
Q317557,Parish church,church which acts as the religious centre of a parish,TRUE,parish church,
Q107679,Cliff,"significant vertical, or near vertical, rock exposure",TRUE,cliff,
Q1137210,Country club,private club typically offering recreational sports and entertainment facilities,TRUE,country club,
Q1498804,Multifamily residential,multiple separate housing units for residential inhabitants contained within one building or several buildings within one complex,TRUE,multifamily residential,
Q1970725,Natural region,"region distinguished by its common natural features of geography, geology, and climate",TRUE,natural region,
Q503481,Cay,small island formed on the surface of a coral reef,TRUE,cay,
Q7315273,NA,area of forest set aside and preserved by a government as a national park or preserve,FALSE,forest reserve,
Q13691,Artificial island,island-like structure constructed by people,TRUE,artificial island,
Q773847,Anti-submarine net,barrier placed across the mouth of a harbour or a strait for protection against submarines,TRUE,anti-submarine net,
Q193110,Floodplain,"area of land adjacent to a stream or river which stretches from the banks of its channel to the base of the enclosing valley walls, and which experiences flooding during periods of high discharge",TRUE,floodplain,
Q133346,Border,legal boundary between two geographic regions,TRUE,border,
Q3089219,Maritime boundary,"boundary between marine zones over which countries have rights, or between such zones and international waters",TRUE,maritime boundary,
Q12413618,NA,border between two sovereign states,FALSE,international border,
Q4663385,NA,railway station which has fallen into disuse or been converted to an alternative use,FALSE,former railway station,
Q885499,Blowhole (geology),geological phenomenon,TRUE,blowhole,
Q5739210,Heritage tree,"individual tree with unique value, which is considered irreplaceable",TRUE,heritage tree,
Q35666,Glacier,large persistent body of ice,TRUE,glacier,
Q107390,Federated state,territorial and constitutional community forming part of a federal union,TRUE,federated state,
Q6981985,Naval air station,military airbase under naval command,TRUE,naval air station,
Q1324633,Naval base,port and military base for naval ships and other assets,TRUE,naval base,
Q44613,Monastery,complex of buildings comprising the domestic quarters and workplace(s) of monks or nuns,TRUE,monastery,
Q60176300,NA,diocese of an Eastern Orthodox church,FALSE,Eastern Orthodox eparchy,
Q28942294,NA,land administration division of the Australian state of Western Australia,FALSE,land district of Western Australia,
Q13380226,NA,outdoor stadium or indoor venue mainly used for tennis,FALSE,tennis venue,
Q782198,NA,territorial subdivision of Australia,FALSE,administrative territorial entity of Australia,
Q2368508,NA,place for surfing,FALSE,surf spot,
Q240854,Hall,"large room used for meetings, social affairs or events",TRUE,hall,
Q1107656,Garden,"planned space set aside for the display, cultivation, and enjoyment of plants",TRUE,garden,
Q1329623,Cultural center,facility where culture and arts are promoted (wide definition),TRUE,cultural center,
Q242606,Green building,architecture designed to minimize environmental and resource impact,TRUE,green building,
Q1140140,Mainland,continental part of any polity or the main island of an island nation or territory,TRUE,mainland,
Q3469910,Performing arts center,facility primarily intended for the performing arts and that may consist of several performance spaces along with other multi-purpose event spaces,TRUE,performing arts center,
Q15303456,NA,venue for rugby union matches,FALSE,rugby union venue,
Q3497167,Gravity dam,type of dam that uses mass to counteract water pressure,TRUE,gravity dam,
Q124130081,NA,railroad network used for commuter rail service,FALSE,commuter rail network,
Q113150763,NA,former prison which is no longer in use for that purpose,FALSE,defunct prison,
Q2387974,Military hospital,"hospital that is reserved for the use of military personnel, their dependents and other authorized users",TRUE,military hospital,
Q2137251,NA,sports venue for rowing and canoeing events,FALSE,rowing and canoeing venue,
Q194502,Endorheic basin,closed drainage basin that retains water and allows no outflow to other external bodies of water,TRUE,endorheic basin,
Q5084,Hamlet (place),small settlement in a rural area,TRUE,hamlet,
Q57821,Fortification,military constructions and buildings designed for defense in warfare and military bases,TRUE,fortification,
Q17054552,Regions of Tasmania,"geographical breakdown of Tasmania, Australia",TRUE,region of Tasmania,
Q47509284,NA,type of factory,FALSE,assembly plant,
Q1976594,Science park,area designed to promote science or technology business development,TRUE,science park,
Q16831714,NA,"building built for and by the government, such as a town hall",FALSE,government building,
Q26208843,NA,NA,FALSE,military district of Australia,
Q91285,Martello tower,small defensive fort,TRUE,Martello tower,
Q20097897,NA,fortification at sea,FALSE,sea fort,
Q1377943,Ocean bank,part of the sea which is shallow compared to its surrounding area,TRUE,ocean bank,
Q209465,Campus,cluster of buildings and land used by a college,TRUE,university campus,
Q113383503,NA,venue designed to host agricultural shows,FALSE,agricultural showground,
Q11822917,Horse racing venue,venue used in horse racing,TRUE,horse racing venue,
Q637017,Episcopal conference,assembly of bishops of some nation or certain territory of the Latin Church,TRUE,episcopal conference,
Q1377575,Wildlife refuge,geographic territory within which wildlife is protected,TRUE,wildlife refuge,
Q1577547,Revenue house,type of multi-family residential house with specific architecture which evolved in Europe during the 18th and 19th centuries,TRUE,revenue house,
Q1427536,NA,a power station that utilises gas turbines for power generation,FALSE,gas turbine power station,
Q543654,Rathaus,municipal administration building in the German language; for a town hall use Q25550691,TRUE,Rathaus,
Q7492439,Sheep station,large property for raising sheep for meat or wool,TRUE,sheep station,
Q642682,Safari park,zoo-like commercial drive-in tourist attraction,TRUE,safari park,
Q83405,Factory,"facility where goods are industrially made, or processed",TRUE,factory,
Q35054,Post office,customer service facility of a postal system,TRUE,post office,
Q194356,Wind farm,group of wind turbines,TRUE,wind farm,
Q2175765,Tram stop,place designated for a tram to stop so passengers can board or leave,TRUE,tram stop,
Q207524,Islet,very small island,TRUE,islet,
Q212198,Pub,drinking establishment,TRUE,pub,
Q27686,Hotel,business enterprise that provides lodging in a single building paid on a short-term basis,TRUE,hotel,
Q17272692,NA,zone in the IANA time zone database,FALSE,IANA time zone,
Q28931760,NA,"land administration division of New South Wales, Australia",FALSE,parish of New South Wales,
Q926196,Food cooperative,food distribution outlet organized as a cooperative,TRUE,food cooperative,
Q618123,Geographical feature,components of planets that can be geographically located,TRUE,geographical feature,
Q22713629,NA,school only for girls,FALSE,girls' school,
Q628179,Trail,path with a rough beaten or dirt/stone surface used for travel,TRUE,trail,
Q165044,Greenhouse,building in which plants are grown,TRUE,greenhouse,
Q1886911,Butterfly house,facility for the breeding and display of butterflies,TRUE,butterfly house,
Q1415133,NA,museum specialising in film and cinema history,FALSE,film museum,
Q2680291,Residential college,student residence and academic community,TRUE,residential college,
Q4287745,NA,organization which supports the field of medicine,FALSE,medical organization,
Q205495,Filling station,"establishment that primarily sells fuel, lubricating oils, and other merchandise, such as tires and batteries, for motor vehicles and that often also perform minor repair work",TRUE,filling station,
Q27106886,Public swimming pool,swimming pool designated for public use and typically maintained by some government authority,TRUE,public swimming pool,
Q158626,Beam bridge,type of bridge,TRUE,beam bridge,
Q18917976,NA,subdivision of the Anglican Communion,FALSE,Anglican diocese,
Q28942311,NA,NA,FALSE,recreation park of South Australia,
Q216107,Department store,retail establishment; building which offers a wide range of consumer goods,TRUE,department store,
Q427961,Metropolis (religious jurisdiction),diocese headed by an archbishop and having suffragan dioceses under its jurisdiction,TRUE,metropolis,
Q1311958,NA,tunnel built for rail traffic,FALSE,railway tunnel,
Q15643578,NA,cadastral subdivision of the Australian state of New South Wales,FALSE,county of New South Wales,
Q7257872,Public hospital,hospital which is owned by a government and receives government funding,TRUE,public hospital,
Q746369,Recording studio,specialized facility for sound recording,TRUE,recording studio,
Q7900123,Urban growth boundary,regional boundary to control urban sprawl,TRUE,urban growth boundary,
Q188734,Sinkhole,geologically-formed topological depression,TRUE,sinkhole,
Q1761072,State park,protected area managed at the federated state level in some countries,TRUE,state park,
Q28194802,Tunnel network,network of tunnels used for storing or transporting people or material items,TRUE,tunnel network,
Q5773747,Historic house,house with a notable history or of a historic nature,TRUE,historic house,
Q56242215,NA,church that is the seat of the bishop of a diocese of the Catholic Church,FALSE,Catholic cathedral,
Q2310214,Pitch (sports field),flat area of grass that can be used for sports usually being played on grass,TRUE,pitch,
Q28932079,NA,"land administration division of Tasmania, Australia",FALSE,land district of Tasmania,
Q11875349,Playground,place with a specific design for children and other age groups to be able to play there,TRUE,playground,
Q4284971,Private hospital,privately funded hospital,TRUE,private hospital,
Q3498533,NA,power station which uses natural gas as primary source of fuel,FALSE,natural gas-fired power station,
Q1137809,Courthouse,building which is home to a court,TRUE,courthouse,
Q2324067,Grand union,track arrangement at a railway junction,TRUE,grand union,
Q274393,Bakery,establishment that produces and sells flour-based food baked in an oven,TRUE,bakery,
Q12516,Pyramid,structure whose shape is roughly that of a pyramid in the geometric sense,TRUE,pyramid,
Q6138323,Railway workshop,facility for construction and repair of rolling stock owned by a railway,TRUE,railway workshop,
Q53882863,NA,former electorate of the Victorian Legislative Council,FALSE,electoral province of Victoria,
Q2116321,Rail trail,railroad bed converted to a recreational trail,TRUE,rail trail,
Q181623,Warehouse,building for storing goods,TRUE,warehouse,
Q355304,Watercourse,any flowing body of water,TRUE,watercourse,
Q4421,Forest,dense collection of trees covering a relatively large area,TRUE,forest,
Q1361400,Gully,landform created by running water,TRUE,gully,
Q18050,Youth detention center,type of prison for people under the age of majority,TRUE,youth detention center,
Q2243978,Record shop,"vendor of music recordings on audio storage like CD, LP record, tape",TRUE,record shop,
Q13402009,NA,multiunit residential dwelling,FALSE,apartment building,
Q91122,Bunker,defensive military building,TRUE,bunker,
Q170321,Wetland,land area that is permanently or seasonally saturated with water,TRUE,wetland,
Q900729,Combined cycle power plant,type of power station,TRUE,combined cycle power station,
Q47521,Stream,body of water with current within bed and stream banks,TRUE,stream,
Q62832,Observatory,location used for observing terrestrial or celestial events,TRUE,observatory,
Q7251288,Protected areas of Victoria,"protected area of the state of Victoria, Australia",TRUE,protected area of Victoria,
Q7300165,Reach (geography),a comparatively straight part of a river or channel between two bends,TRUE,reach,
Q474,Aqueduct (water supply),structure constructed to convey water,TRUE,aqueduct,
Q44377,Tunnel,underground passageway,TRUE,tunnel,
Q30014735,NA,type of public transport network,FALSE,bus-based transport system,
Q43619,Natural environment,all living and non-living things occurring naturally on Earth or some region thereof,TRUE,natural environment,
Q863454,Pier,"raised structure in a body of water, typically supported by well-spaced piles or pillars",TRUE,pier,
Q1418712,Plant community,collection or association of plant species within a designated geographical unit,TRUE,plant community,
Q2308605,NA,NA,FALSE,reservoir power station,
Q3082251,Jetty,structure that projects from the land out into water,TRUE,jetty,
Q175185,Rural area,geographic area that is located outside towns and cities,TRUE,rural area,
Q1365207,Bird observatory,ornithological (bird-watching) station,TRUE,bird observatory,
Q655677,Branch line,minor railway line,TRUE,branch line,
Q18984099,NA,regularly scheduled ship route providing ferry service,FALSE,ferry route,
Q98280550,NA,type of station,FALSE,station located in a cut,
Q182676,Mountain hut,building located in the mountains,TRUE,mountain hut,
Q7884983,Unified school district,school body with both grade school and high school education,TRUE,unified school district,
Q187456,Bar (establishment),establishment serving alcoholic beverages for consumption on the premises,TRUE,bar,
Q8719053,Music venue,any location used for a concert or musical performance,TRUE,music venue,
Q427287,Wat,"Buddhist temple or monastery in Thailand, Cambodia or Laos",TRUE,wat,
Q1501,Swimming pool,excavation or containment structure filled with water and used for swimming,TRUE,swimming pool,
Q811430,NA,artificially constructed entity meant to remain at a fixed geographic location,FALSE,fixed construction,
Q19844914,NA,building used by a higher education institution,FALSE,university building,
Q210999,Psychiatric hospital,hospital treating serious mental disorders,TRUE,psychiatric hospital,
Q38720,Windmill,machine that converts the energy of wind into rotational energy,TRUE,windmill,
Q285783,Intersection (road),road junction where two or more roads either meet or cross at grade,TRUE,intersection,
Q27028153,NA,storage and maintenance facility for trams,FALSE,tram depot,
Q131596,Farm,"area of land for farming, or, for aquaculture, lake, river or sea, including various structures",TRUE,farm,
Q913035,Roadstead,open anchorage affording less protection than a harbor,TRUE,roadstead,
Q390365,Space Shot (ride),type of drop tower amusement ride manufactured by S&S - Sansei Technologies,TRUE,Space Shot,
Q2451577,Junction station,railway station situated on or close to a junction where lines to several destinations diverge,TRUE,junction station,
Q1714375,Game reserve,entity reserved for game,TRUE,game reserve,
Q28942401,NA,NA,FALSE,game reserve of South Australia,
Q10667400,Siding (rail),type of railway track,TRUE,siding,
Q56670402,NA,type of prison,FALSE,prison for women,
Q1144661,Amusement ride,mechanical device or structure that moves people to create enjoyment,TRUE,amusement ride,
Q15310171,NA,port accessible for seagoing vessels,FALSE,seaport,
Q1128397,Convent,"religious establishment, where clerics lead a religious life in community",TRUE,convent,
Q1198413,Military camp,semi-permanent facility for the lodging of an army,TRUE,military camp,
Q18414273,NA,diplomatic representation of a Commonwealth country to another one or between States members of the Union Française (then Communauté),FALSE,high commission,
Q1179791,NA,manufactory that produces glass and glass products,FALSE,glassworks,
Q65515162,NA,an installation or factory for smelting a metal from its ore,FALSE,smelter,
Q3565782,Navigational aid,marker that assists a traveler in navigation,TRUE,navigational aid,
Q1408475,Fortified house,type of fortification,TRUE,fortified house,
Q200023,Natatorium,building containing a swimming pool,TRUE,swimming center,
Q15643559,NA,redundant unused historic land administrative unit in the colony of Western Australia,FALSE,county of Western Australia,
Q17106091,Streetcorner,location adjacent to an intersection of two roads,TRUE,streetcorner,
Q14911880,NA,Catholic high education institute for the education of the clergy,FALSE,Catholic seminary,
Q21000066,NA,NA,FALSE,roundabout tunnel,
Q2221906,Location,"location of a point, line or area on or near Earth",TRUE,geographic location,
Q22715,Vineyard,plantation of grape-bearing vines,TRUE,vineyard,
Q1713379,NA,school only for boys,FALSE,boys' school,
Q1202618,NA,outdoor sports facility,FALSE,sports field,
Q1567913,NA,rail-boat connection,FALSE,harbour railway station,
Q102496,Parish,type of ecclesiastical subdivision of a diocese,TRUE,parish,
Q3240003,NA,fixed route for transit buses,FALSE,bus route,
Q145179,Circle route,public transport route following a path approximating a circle,TRUE,circle route,
Q15145593,NA,transport route/service in a tram network,FALSE,tram service,
Q909906,Skatepark,place built for skating,TRUE,skatepark,
Q12719343,Water tunnel (physical infrastructure),tunnel (below-ground channels) used to transport water,TRUE,water tunnel,
Q15643615,NA,land administration division of South Australia,FALSE,county of South Australia,
Q5177126,Cadastral divisions of Victoria,cadastral subdivision of the Australian state of Victoria,TRUE,county of Victoria,
Q15643599,NA,lands administrative division of Queensland,FALSE,county of Queensland,
Q3482498,Surf break,permanent obstruction on the seabed which causes waves to break,TRUE,surf break,
Q7830048,Town centre,commercial or geographical centre or core area of a town,TRUE,town centre,
Q6027980,NA,geographical region with extremely dense industry,FALSE,industrial region,
Q200297,Thermal power station,facility where heat is converted to electric power,TRUE,thermal power station,
Q17683170,NA,secondary school for female students,FALSE,girls' high school,
Q1564373,Mission (station),location for Christian missionary work,TRUE,mission station,
Q111594564,NA,type of protected area in Australia,FALSE,coastal reserve,
Q28942392,NA,protected area in South Australia established by Wilderness Protection Act 1992,FALSE,Wilderness Protection Area,
Q10283556,Motive power depot,"building (having any form) where locomotives are housed, washed, serviced",TRUE,motive power depot,
Q245016,Military base,facility directly owned and operated by or for the military,TRUE,military base,
